Date,Year,Month,value
1998-01-01,1998,1,0
1998-02-01,1998,2,0
1998-03-01,1998,3,0
1998-04-01,1998,4,0
1998-05-01,1998,5,0
1998-06-01,1998,6,2
1998-07-01,1998,7,17
1998-08-01,1998,8,48
1998-09-01,1998,9,31
1998-10-01,1998,10,3
1998-11-01,1998,11,0
1998-12-01,1998,12,0
1999-01-01,1999,1,0
1999-02-01,1999,2,2
1999-03-01,1999,3,0
1999-04-01,1999,4,0
1999-05-01,1999,5,0
1999-06-01,1999,6,3
1999-07-01,1999,7,4
1999-08-01,1999,8,15
1999-09-01,1999,9,12
1999-10-01,1999,10,8
1999-11-01,1999,11,1
1999-12-01,1999,12,0
2000-01-01,2000,1,0
2000-02-01,2000,2,0
2000-03-01,2000,3,0
2000-04-01,2000,4,0
2000-05-01,2000,5,2
2000-06-01,2000,6,1
2000-07-01,2000,7,15
2000-08-01,2000,8,9
2000-09-01,2000,9,3
2000-10-01,2000,10,17
2000-11-01,2000,11,0
2000-12-01,2000,12,0
2001-01-01,2001,1,0
2001-02-01,2001,2,1
2001-03-01,2001,3,0
2001-04-01,2001,4,0
2001-05-01,2001,5,0
2001-06-01,2001,6,3
2001-07-01,2001,7,22
2001-08-01,2001,8,25
2001-09-01,2001,9,13
2001-10-01,2001,10,0
2001-11-01,2001,11,0
2001-12-01,2001,12,1
2002-01-01,2002,1,0
2002-02-01,2002,2,0
2002-03-01,2002,3,0
2002-04-01,2002,4,1
2002-05-01,2002,5,1
2002-06-01,2002,6,7
2002-07-01,2002,7,38
2002-08-01,2002,8,49
2002-09-01,2002,9,41
2002-10-01,2002,10,22
2002-11-01,2002,11,1
2002-12-01,2002,12,1
2003-01-01,2003,1,0
2003-02-01,2003,2,1
2003-03-01,2003,3,0
2003-04-01,2003,4,0
2003-05-01,2003,5,1
2003-06-01,2003,6,32
2003-07-01,2003,7,50
2003-08-01,2003,8,43
2003-09-01,2003,9,22
2003-10-01,2003,10,12
2003-11-01,2003,11,0
2003-12-01,2003,12,0
2004-01-01,2004,1,0
2004-02-01,2004,2,0
2004-03-01,2004,3,0
2004-04-01,2004,4,2
2004-05-01,2004,5,11
2004-06-01,2004,6,5
2004-07-01,2004,7,46
2004-08-01,2004,8,110
2004-09-01,2004,9,116
2004-10-01,2004,10,22
2004-11-01,2004,11,0
2004-12-01,2004,12,0
2005-01-01,2005,1,0
2005-02-01,2005,2,0
2005-03-01,2005,3,0
2005-04-01,2005,4,0
2005-05-01,2005,5,4
2005-06-01,2005,6,4
2005-07-01,2005,7,38
2005-08-01,2005,8,46
2005-09-01,2005,9,25
2005-10-01,2005,10,18
2005-11-01,2005,11,5
2005-12-01,2005,12,0
2006-01-01,2006,1,0
2006-02-01,2006,2,0
2006-03-01,2006,3,0
2006-04-01,2006,4,1
2006-05-01,2006,5,9
2006-06-01,2006,6,10
2006-07-01,2006,7,38
2006-08-01,2006,8,64
2006-09-01,2006,9,17
2006-10-01,2006,10,1
2006-11-01,2006,11,0
2006-12-01,2006,12,0
2007-01-01,2007,1,1
2007-02-01,2007,2,0
2007-03-01,2007,3,1
2007-04-01,2007,4,3
2007-05-01,2007,5,16
2007-06-01,2007,6,59
2007-07-01,2007,7,87
2007-08-01,2007,8,197
2007-09-01,2007,9,99
2007-10-01,2007,10,22
2007-11-01,2007,11,0
2007-12-01,2007,12,0
2008-01-01,2008,1,0
2008-02-01,2008,2,0
2008-03-01,2008,3,2
2008-04-01,2008,4,1
2008-05-01,2008,5,7
2008-06-01,2008,6,11
2008-07-01,2008,7,39
2008-08-01,2008,8,71
2008-09-01,2008,9,56
2008-10-01,2008,10,8
2008-11-01,2008,11,6
2008-12-01,2008,12,0
2009-01-01,2009,1,1
2009-02-01,2009,2,0
2009-03-01,2009,3,0
2009-04-01,2009,4,0
2009-05-01,2009,5,15
2009-06-01,2009,6,6
2009-07-01,2009,7,32
2009-08-01,2009,8,37
2009-09-01,2009,9,4
2009-10-01,2009,10,4
2009-11-01,2009,11,0
2009-12-01,2009,12,0
2010-01-01,2010,1,1
2010-02-01,2010,2,5
2010-03-01,2010,3,2
2010-04-01,2010,4,8
2010-05-01,2010,5,22
2010-06-01,2010,6,78
2010-07-01,2010,7,100
2010-08-01,2010,8,181
2010-09-01,2010,9,204
2010-10-01,2010,10,10
2010-11-01,2010,11,1
2010-12-01,2010,12,1
2011-01-01,2011,1,0
2011-02-01,2011,2,2
2011-03-01,2011,3,0
2011-04-01,2011,4,1
2011-05-01,2011,5,5
2011-06-01,2011,6,18
2011-07-01,2011,7,54
2011-08-01,2011,8,55
2011-09-01,2011,9,135
2011-10-01,2011,10,0
2011-11-01,2011,11,0
2011-12-01,2011,12,0
2012-01-01,2012,1,0
2012-02-01,2012,2,0
2012-03-01,2012,3,0
2012-04-01,2012,4,4
2012-05-01,2012,5,0
2012-06-01,2012,6,4
2012-07-01,2012,7,27
2012-08-01,2012,8,51
2012-09-01,2012,9,67
2012-10-01,2012,10,16
2012-11-01,2012,11,0
2012-12-01,2012,12,0
2013-01-01,2013,1,0
2013-02-01,2013,2,1
2013-03-01,2013,3,1
2013-04-01,2013,4,0
2013-05-01,2013,5,2
2013-06-01,2013,6,5
2013-07-01,2013,7,25
2013-08-01,2013,8,33
2013-09-01,2013,9,33
2013-10-01,2013,10,3
2013-11-01,2013,11,0
2013-12-01,2013,12,2
2014-01-01,2014,1,0
2014-02-01,2014,2,1
2014-03-01,2014,3,1
2014-04-01,2014,4,2
2014-05-01,2014,5,9
2014-06-01,2014,6,6
2014-07-01,2014,7,28
2014-08-01,2014,8,96
2014-09-01,2014,9,67
2014-10-01,2014,10,31
2014-11-01,2014,11,0
2014-12-01,2014,12,0
2015-01-01,2015,1,1
2015-02-01,2015,2,0
2015-03-01,2015,3,0
2015-04-01,2015,4,0
2015-05-01,2015,5,2
2015-06-01,2015,6,1
2015-07-01,2015,7,15
2015-08-01,2015,8,53
2015-09-01,2015,9,64
2015-10-01,2015,10,17
2015-11-01,2015,11,2
2015-12-01,2015,12,0
2016-01-01,2016,1,0
2016-02-01,2016,2,1
2016-03-01,2016,3,1
2016-04-01,2016,4,4
2016-05-01,2016,5,13
2016-06-01,2016,6,37
2016-07-01,2016,7,78
2016-08-01,2016,8,35
2016-09-01,2016,9,51
2016-10-01,2016,10,8
2016-11-01,2016,11,1
2016-12-01,2016,12,0
2017-01-01,2017,1,1
2017-02-01,2017,2,0
2017-03-01,2017,3,0
2017-04-01,2017,4,1
2017-05-01,2017,5,6
2017-06-01,2017,6,5
2017-07-01,2017,7,28
2017-08-01,2017,8,118
2017-09-01,2017,9,77
2017-10-01,2017,10,51
2017-11-01,2017,11,0
2017-12-01,2017,12,0
2018-01-01,2018,1,0
2018-02-01,2018,2,0
2018-03-01,2018,3,0
2018-04-01,2018,4,0
2018-05-01,2018,5,2
2018-06-01,2018,6,1
2018-07-01,2018,7,29
2018-08-01,2018,8,15
2018-09-01,2018,9,41
2018-10-01,2018,10,0
2018-11-01,2018,11,0
2018-12-01,2018,12,0
2019-01-01,2019,1,4
2019-02-01,2019,2,1
2019-03-01,2019,3,0
2019-04-01,2019,4,0
2019-05-01,2019,5,0
2019-06-01,2019,6,6
2019-07-01,2019,7,30
2019-08-01,2019,8,29
2019-09-01,2019,9,116
2019-10-01,2019,10,27
2019-11-01,2019,11,0
2019-12-01,2019,12,0
2020-01-01,2020,1,2
2020-02-01,2020,2,2
2020-03-01,2020,3,0
2020-04-01,2020,4,5
2020-05-01,2020,5,5
2020-06-01,2020,6,11
2020-07-01,2020,7,25
2020-08-01,2020,8,22
2020-09-01,2020,9,83
2020-10-01,2020,10,39
2020-11-01,2020,11,1
2020-12-01,2020,12,1
2021-01-01,2021,1,0
2021-02-01,2021,2,0
2021-03-01,2021,3,0
2021-04-01,2021,4,4
2021-05-01,2021,5,9
2021-06-01,2021,6,10
2021-07-01,2021,7,38
2021-08-01,2021,8,4
2021-09-01,2021,9,0
2021-10-01,2021,10,0
2021-11-01,2021,11,0
2021-12-01,2021,12,0
